2.5 2388 8537 1985 6.0 262 8 38.8043489 -77.2975569 300000
2.0 1426 6969 2017 9.0 375 337 38.851005 -77.317099 300000
3.5 3424 217800 2018 19.0 394 280 38.8348749 -77.3360402 300000
3.5 2094 6969 2017 120.0 344 184 38.8442531 -77.3045432 300000
4.5 5217 6969 1989 54.5 259 280 38.813299900000004 -77.3694096 300000
7.0 5190 19297 2005 1.0 346 280 33.8621954 -84.3613931 300000
2.0 1930 13111 1925 2.0 404 280 33.784313 -84.3620503 300000
2.5 2906 6969 2017 2.0 179 25 33.820845 -84.37141 300000
2.0 1587 8276 1940 2.0 195 280 33.742151899999996 -84.44223029999999 300000
1.0 620 6969 2005 4.0 391 22 33.8455184 -84.3689686 300000
4.5 5670 33149 2002 5.0 220 280 33.919594399999994 -84.4206021 300000
2.5 2111 6969 1976 6.0 135 398 33.8621896 -84.465571 300000
2.0 1909 13068 1969 6.0 102 280 33.7105855 -84.334546 300000
2.5 2834 6969 2002 6.0 145 280 33.8676889 -84.4645184 300000
1.0 783 6969 2008 7.0 409 363 33.77808710000001 -84.38389670000001 300000
2.0 1400 6969 1925 7.0 200 50 33.833192100000005 -84.3837299 300000
4.5 4490 6969 2018 9.0 209 28 33.8676889 -84.4645184 300000
4.5 3849 43560 1999 12.0 119 21 33.693695899999994 -84.5681171 300000
8.0 6689 116740 2000 12.0 253 280 33.9015579 -84.43308470000001 300000
2.0 1200 6969 1924 16.0 150 280 33.7254839 -84.3950015 300000
2.0 1426 16988 1956 19.0 337 280 33.8206443 -84.34962469999999 300000
3.5 3650 6969 2004 21.0 112 280 33.9122781 -84.4640993 300000
2.0 1670 13068 1951 21.0 239 280 33.809733 -84.340087 300000
4.5 3604 6446 2018 21.0 146 42 33.7341489 -84.32444009999999 300000
6.5 7191 152460 1975 22.0 369 280 33.835531200000005 -84.4443836 300000
5.5 6599 20560 1987 27.0 220 71 33.8372815 -84.3931953 300000
3.0 2454 9583 2015 27.0 230 280 33.7561995 -84.3384906 300000
3.5 2797 6229 2018 28.0 181 42 33.7341489 -84.32444009999999 300000
1.5 2010 13068 1959 30.0 144 280 33.858056899999994 -84.30156090000001 300000
3.5 3798 10890 1996 33.0 276 13 33.840013299999995 -84.36630109999999 300000
5.5 5368 30491 1935 34.0 333 280 33.8598018 -84.3437497 300000
2.0 1449 1306 1970 37.0 28 280 33.601167 -84.475503 300000
5.5 4700 17511 2018 37.0 255 280 33.8870766 -84.3638574 300000
1.0 768 6969 2007 37.0 117 280 33.7556717 -84.4165112 300000
2.5 1617 6969 2018 40.0 141 4 33.7202711 -84.31667209999999 300000
4.5 2680 6969 2018 41.0 281 360 33.8049485 -84.387635 300000
3.0 3635 21780 1925 41.0 323 280 33.8593726 -84.34576290000001 300000
2.0 1356 871 1949 42.0 273 280 33.730382 -84.33249140000001 300000
2.5 1410 52272 1976 53.0 156 280 33.681900399999996 -84.574013 300000
3.0 2275 6969 2018 58.0 176 280 33.7129837 -84.3632208 300000
3.0 2027 6969 2008 58.0 343 1102 33.8453162 -84.37153719999999 300000
5.0 3523 8712 2017 61.0 284 280 33.75425429999999 -84.3084472 300000
3.0 1604 13068 2001 63.0 131 50 33.720873299999994 -84.32254609999998 300000
2.5 1777 6969 2017 63.0 95 49 33.6048013 -84.4442929 300000
3.5 3665 17424 2017 65.0 271 280 33.8506877 -84.29397490000001 300000
1.0 796 9234 1960 76.0 157 280 33.801922 -84.480068 300000
3.0 3720 19558 1959 89.0 169 280 33.9353805 -84.40204109999999 300000
